_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
384,AMAZONITE,Street,,PALLARA
385,AMAZONS,Place,,JINDALEE
386,AMAZONS,Place,,SINNAMON PARK
387,AMBARA,Street,,BELMONT
388,AMBER,Close,,EIGHT MILE PLAINS
389,AMBER,Street,,ACACIA RIDGE
390,AMBERELLE,Place,,CHAPEL HILL
391,AMBERJACK,Street,,MANLY WEST
392,AMBLESIDE,Street,,WEST END
393,AMBOOL,Street,,LOTA
394,AMBROSE,Street,,BRIGHTON
395,AMBROSIUS,Street,,CARINDALE
396,AMEGA,Street,,MOUNT GRAVATT EAST
397,AMELIA,Street,,ALBION
398,AMELIA,Street,,COORPAROO
399,AMELIA,Street,,FORTITUDE VALLEY
400,AMELIA,Street,,NORTHGATE
401,AMELIA,Street,,NUNDAH
402,AMELIA,Street,,PADDINGTON
403,AMERSHAM,Crescent,,CARINDALE
404,AMERSHAM,Street,,WEST END
405,AMERY,Street,,MOOROOKA
406,AMES,Street,,COORPAROO
407,AMESBURY,Street,,KANGAROO POINT
408,AMETHYST,Street,,HOLLAND PARK
409,AMETHYST,Street,,ROCHEDALE
410,AMHERST,Street,,ACACIA RIDGE
411,AMIABLE,Place,,MCDOWALL
412,AMINGA,Street,,FIG TREE POCKET
413,AMINTA,Street,,SUNNYBANK
414,AMINYA,Close,,THE GAP
415,AMINYA,Street,,MANSFIELD
416,AMISFIELD,Avenue,,NUNDAH
417,AMITY,Street,,NEW FARM
418,AMORIA,Street,,MANSFIELD
419,AMOS,Lane,,FORTITUDE VALLEY
420,AMOTT,Street,,STAFFORD HEIGHTS
421,AMPTHILL,Street,,HIGHGATE HILL
422,AMSTERDAM,Street,,WISHART
423,AMULREE,Street,,TARRAGINDI
424,AMY JOHNSON,Place,,EAGLE FARM
425,AMY,Street,,ALBION
426,AMY,Street,,HAWTHORNE
427,ANA,Street,,BALD HILLS
428,ANAKIE,Street,,DURACK
429,ANALESE,Street,,SUNNYBANK HILLS
430,ANATINI,Place,,FOREST LAKE
431,ANCASTER,Road,,FERNY GROVE
432,ANCASTER,Road,,UPPER KEDRON
433,ANCHUSA,Street,,BELLBOWRIE
434,ANCILLA,Street,,MANSFIELD
435,ANDALUCIA,Court,,WISHART
436,ANDAMAN,Street,,JAMBOREE HEIGHTS
437,ANDAN,Street,,MURARRIE
438,ANDERSON,Avenue,,ASHGROVE
439,ANDERSON,Close,,BANYO
440,ANDERSON,Street,,FORTITUDE VALLEY
441,ANDERSON,Street,,KANGAROO POINT
442,ANDERSON,Street,,WINDSOR
443,ANDES,Street,,MANLY WEST
444,ANDOVER,Street,,MITCHELTON
445,ANDREA,Street,,TARRAGINDI
446,ANDREE,Place,,WISHART
447,ANDRESS,Street,,MCDOWALL
448,ANDREW,Avenue,,MOOROOKA
449,ANDREW,Avenue,,TARRAGINDI
450,ANDREW,Street,,ALDERLEY
451,ANDREW,Street,,BALMORAL
452,ANDREW,Street,,LOTA
453,ANDREW,Street,,ROCKLEA
454,ANDREW,Street,,WYNNUM
455,ANDREWS,Street,,CANNON HILL
456,ANDROMEDA,Street,,INALA
457,ANDROS,Street,,CHAPEL HILL
458,ANEMBO,Street,,THE GAP
459,ANESBURY,Street,,DOOLANDELLA
460,ANETO,Street,,RIVERHILLS
461,ANGEL FACE,Court,,CALAMVALE
462,ANGEL,Street,,EIGHT MILE PLAINS
463,ANGELA,Street,,SALISBURY
464,ANGELICA,Place,,FOREST LAKE
465,ANGELICO,Place,,MACKENZIE
466,ANGELINA,Street,,MACGREGOR
467,ANGLE,Street,,CLAYFIELD
468,ANGLESEY,Street,,KANGAROO POINT
469,ANGLIA,Street,,ASPLEY
470,ANGLISS,Street,,WILSTON
471,ANGOPHORA,Street,,CARSELDINE
472,ANGOPHORA,Street,,ROBERTSON
473,ANGORA,Road,,HAMILTON
474,ANGOURIE,Place,,CARINDALE
475,ANGUS,Street,,BARDON
476,ANGUS,Street,,SINNAMON PARK
477,ANGY,Street,,SUNNYBANK HILLS
478,ANISE,Street,,WISHART
479,ANITA,Street,,YERONGA
480,ANN,Crescent,,ROCHEDALE
481,ANN,Street,,BRISBANE CITY
482,ANN,Street,,FORTITUDE VALLEY
483,ANN,Street,,NEWSTEAD
484,ANN,Street,,SPRING HILL
485,ANNABEL,Street,,KENMORE
486,ANNAND,Street,,OXLEY
487,ANNANDALE,Street,,KEPERRA
488,ANNEAR,Street,,ACACIA RIDGE
489,ANNERLEY,Road,,ANNERLEY
490,ANNERLEY,Road,,DUTTON PARK
491,ANNERLEY,Road,,WOOLLOONGABBA
492,ANNERLEY,Street,,TOOWONG
493,ANNESLEY,Crescent,,BOONDALL
494,ANNETTE,Street,,TINGALPA
495,ANNIE,Place,,KURABY
496,ANNIE,Street,,AUCHENFLOWER
497,ANNIE,Street,,BRACKEN RIDGE
498,ANNIE,Street,,CAMP HILL
